 	Code	Rarity	Sex	Class	ByUse	Race	Faction	Place	China	Global	Paradox	Alr_ModX	Alr_ModY
	SS02	☆6	1	3	6	21	24	8	Tue Aug 27 2019 00:00:00 GMT+0900 (日本標準時)	Wed Apr 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	AZ01	☆6	0	1	3	26	0	0	Tue Sep 10 2019 00:00:00 GMT+0900 (日本標準時)	Wed Apr 15 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RL06	☆6	1	6	3	26	21	12	Tue Oct 15 2019 00:00:00 GMT+0900 (日本標準時)	Wed Mar 25 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	LT77	☆6	1	4	2	99	9	4	Tue Nov 19 2019 00:00:00 GMT+0900 (日本標準時)	Wed May 27 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RE41	☆6	1	1	0	21	36	7	Tue Dec 24 2019 00:00:00 GMT+0900 (日本標準時)	Tue Jun 30 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM20	☆6	0	7	7	21	4	1	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	Wed Jul 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	NM01	☆6	1	2	0	99	7	2	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	Wed Jul 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	R155	☆6	1	4	0	23	30	16	Tue Feb 25 2020 00:00:00 GMT+0900 (日本標準時)	Wed Aug 26 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RV02	☆6	1	0	0	7	12	7	Tue Mar 17 2020 00:00:00 GMT+0900 (日本標準時)	Thu Sep 10 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	R109	☆6	0	7	0	21	12	7	Tue Apr 21 2020 00:00:00 GMT+0900 (日本標準時)	Thu Dec 10 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	B214	☆6	1	3	4	15	38	11	Fri May 01 2020 00:00:00 GMT+0900 (日本標準時)	Wed Dec 30 2020 00:00:00 GMT+0900 (日本標準時)	0	1	1
	R117	☆6	1	7	6	8	30	20	Fri May 01 2020 00:00:00 GMT+0900 (日本標準時)	Wed Dec 30 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	USS4	☆6	1	3	3	5	1	0	Thu Jun 18 2020 00:00:00 GMT+0900 (日本標準時)	Tue Sep 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R172	☆6	1	6	0	6	17	3	Thu Jul 09 2020 00:00:00 GMT+0900 (日本標準時)	Wed Oct 28 2020 00:00:00 GMT+0900 (日本標準時)	0	1	1
	II01	☆6	0	1	8	8	29	20	Tue Aug 11 2020 00:00:00 GMT+0900 (日本標準時)	Wed Jan 20 2021 00:00:00 GMT+0900 (日本標準時)	1	1	0
	SG03	☆6	1	2	3	32	22	13	Tue Aug 25 2020 00:00:00 GMT+0900 (日本標準時)	Thu Feb 25 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	R111	☆6	1	1	4	15	30	99	Thu Sep 24 2020 00:00:00 GMT+0900 (日本標準時)	Thu Mar 25 2021 00:00:00 GMT+0900 (日本標準時)	0	0	0
	KZ09	☆6	1	2	2	13	15	9	Thu Oct 15 2020 00:00:00 GMT+0900 (日本標準時)	Thu Apr 08 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RE45	☆6	1	3	5	21	36	12	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	Fri Apr 30 2021 00:00:00 GMT+0900 (日本標準時)	0	1	0
	R159	☆6	1	2	4	15	30	11	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	Fri Apr 30 2021 00:00:00 GMT+0900 (日本標準時)	0	1	0
	CB05	☆6	0	1	2	21	19	12	Thu Dec 17 2020 00:00:00 GMT+0900 (日本標準時)	Tue Jun 22 2021 00:00:00 GMT+0900 (日本標準時)	1	0	1
	LT08	☆6	1	3	0	26	9	4	Tue Jan 05 2021 00:00:00 GMT+0900 (日本標準時)	Tue Jul 06 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1
	NM02	☆6	1	4	2	99	7	2	Fri Feb 05 2021 00:00:00 GMT+0900 (日本標準時)	Fri Jul 30 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1
	HK13	☆6	1	0	1	23	8	3	Fri Feb 05 2021 00:00:00 GMT+0900 (日本標準時)	Fri Jul 30 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	RS01	☆6	1	3	0	100	39	100	Tue Mar 09 2021 00:00:00 GMT+0900 (日本標準時)	Wed Aug 18 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	SG07	☆6	0	4	6	26	22	12	Thu Apr 15 2021 00:00:00 GMT+0900 (日本標準時)	Thu Sep 30 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	CR01	☆6	1	6	4	99	27	19	Sat May 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Oct 21 2021 00:00:00 GMT+0900 (日本標準時)	0	0	0
	B003	☆6	1	5	0	21	30	21	Sat May 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Oct 21 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	AA05	☆6	1	7	4	99	28	19	Sat May 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Oct 21 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1
	LN04	☆6	1	4	1	11	10	13	Tue Jun 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Dec 09 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1
	MN04	☆6	1	1	6	22	26	17	Fri Jul 02 2021 00:00:00 GMT+0900 (日本標準時)	Wed Dec 29 2021 00:00:00 GMT+0900 (日本標準時)	0	1	1
	R112	☆6	1	3	1	27	30	1	Tue Aug 03 2021 00:00:00 GMT+0900 (日本標準時)	Fri Jan 14 2022 00:00:00 GMT+0900 (日本標準時)	1	1	0
	HK07	☆6	0	7	1	8	8	3	Tue Aug 03 2021 00:00:00 GMT+0900 (日本標準時)	Fri Jan 14 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	VC10	☆6	1	0	3	7	12	7	Fri Sep 17 2021 00:00:00 GMT+0900 (日本標準時)	Thu Mar 17 2022 00:00:00 GMT+0900 (日本標準時)	1	1	0
	KZ13	☆6	1	3	2	26	16	9	Fri Oct 15 2021 00:00:00 GMT+0900 (日本標準時)	Thu Apr 14 2022 00:00:00 GMT+0900 (日本標準時)	0	1	1
	KZ01	☆6	1	1	5	13	15	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Apr 28 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	KZ11	☆6	1	0	1	18	16	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	Thu Apr 28 2022 00:00:00 GMT+0900 (日本標準時)	0	1	1
	JC02	☆6	0	6	2	26	11	6	Tue Dec 21 2021 00:00:00 GMT+0900 (日本標準時)	Thu Jun 30 2022 00:00:00 GMT+0900 (日本標準時)	1	1	0
	NM03	☆6	1	6	3	99	7	2	Tue Jan 25 2022 00:00:00 GMT+0900 (日本標準時)	Fri Jul 29 2022 00:00:00 GMT+0900 (日本標準時)	1	0	1
	LM18	☆6	0	7	3	27	4	2	Tue Jan 25 2022 00:00:00 GMT+0900 (日本標準時)	Fri Jul 29 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	VC09	☆6	1	4	5	21	12	7	Tue Feb 15 2022 00:00:00 GMT+0900 (日本標準時)	Thu Aug 18 2022 00:00:00 GMT+0900 (日本標準時)	0	1	0
	LT11	☆6	1	3	4	26	9	4	Tue Mar 15 2022 00:00:00 GMT+0900 (日本標準時)	Fri Sep 16 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	VC16	☆6	1	2	5	28	12	7	Thu Apr 14 2022 00:00:00 GMT+0900 (日本標準時)	Wed Oct 19 2022 00:00:00 GMT+0900 (日本標準時)	1	1	0
	II07	☆6	1	1	1	26	29	20	Sun May 01 2022 00:00:00 GMT+0900 (日本標準時)	Thu Nov 03 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	CR02	☆6	1	7	5	8	28	19	Sun May 01 2022 00:00:00 GMT+0900 (日本標準時)	Thu Nov 03 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	II09	☆6	0	5	1	8	29	20	Sun May 01 2022 00:00:00 GMT+0900 (日本標準時)	Thu Nov 03 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	LN05	☆6	0	4	3	11	10	5	Thu Jun 09 2022 00:00:00 GMT+0900 (日本標準時)	Tue Dec 27 2022 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RL07	☆6	1	7	2	18	21	12	Tue Jul 05 2022 00:00:00 GMT+0900 (日本標準時)	Tue Mar 14 2023 00:00:00 GMT+0900 (日本標準時)	1	0	1
	RF22	☆6	1	1	0	1	30	13	Thu Aug 11 2022 00:00:00 GMT+0900 (日本標準時)	Fri Jan 13 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R145	☆6	1	3	2	28	30	0	Thu Aug 11 2022 00:00:00 GMT+0900 (日本標準時)	Fri Jan 13 2023 00:00:00 GMT+0900 (日本標準時)	1	0	1
	KZ08	☆6	0	1	9	13	15	9	Thu Sep 08 2022 00:00:00 GMT+0900 (日本標準時)	Fri Mar 31 2023 00:00:00 GMT+0900 (日本標準時)	0	0	0
	VC17	☆6	0	6	5	21	12	7	Tue Oct 11 2022 00:00:00 GMT+0900 (日本標準時)	Thu Apr 27 2023 00:00:00 GMT+0900 (日本標準時)	0	1	0
	PL07	☆6	1	7	0	28	5	12	Tue Nov 01 2022 00:00:00 GMT+0900 (日本標準時)	Tue May 23 2023 00:00:00 GMT+0900 (日本標準時)	0	0	1
	SR35	☆6	1	2	4	28	17	10	Tue Nov 01 2022 00:00:00 GMT+0900 (日本標準時)	Tue May 23 2023 00:00:00 GMT+0900 (日本標準時)	1	1	1
	SR36	☆6	0	0	2	28	17	10	Tue Nov 01 2022 00:00:00 GMT+0900 (日本標準時)	Tue May 23 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	DB02	☆6	1	5	4	20	40	7	Thu Dec 15 2022 00:00:00 GMT+0900 (日本標準時)	Thu Jul 13 2023 00:00:00 GMT+0900 (日本標準時)	0	1	0
	NM04	☆6	0	1	2	99	7	2	Tue Jan 17 2023 00:00:00 GMT+0900 (日本標準時)	Fri Jul 28 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM21	☆6	1	4	1	18	2	1	Tue Jan 17 2023 00:00:00 GMT+0900 (日本標準時)	Fri Jul 28 2023 00:00:00 GMT+0900 (日本標準時)	0	1	0
	YD20	☆6	1	1	8	9	6	2	Tue Feb 14 2023 00:00:00 GMT+0900 (日本標準時)	Tue Aug 22 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	MH02	☆6	1	7	0	10	34	3	Tue Mar 07 2023 00:00:00 GMT+0900 (日本標準時)	Thu Sep 07 2023 00:00:00 GMT+0900 (日本標準時)	0	1	0
	B215	☆6	1	0	4	99	30	11	Thu Apr 06 2023 00:00:00 GMT+0900 (日本標準時)	Tue Oct 24 2023 00:00:00 GMT+0900 (日本標準時)	0	0	0
	RL09	☆6	1	0	2	35	21	99	Mon May 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Nov 07 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	CB88	☆6	1	4	0	99	19	12	Mon May 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Nov 07 2023 00:00:00 GMT+0900 (日本標準時)	0	1	1
	RL10	☆6	1	6	1	26	21	12	Mon May 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Nov 07 2023 00:00:00 GMT+0900 (日本標準時)	0	1	0
	LT40	☆6	0	1	7	16	9	4	Thu Jun 08 2023 00:00:00 GMT+0900 (日本標準時)	Thu Dec 21 2023 00:00:00 GMT+0900 (日本標準時)	1	1	0
	SI07	☆6	1	3	3	15	23	14	Thu Jul 06 2023 00:00:00 GMT+0900 (日本標準時)	Tue Feb 27 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	LN10	☆6	1	5	3	11	10	5	Tue Aug 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Jan 16 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	LM22	☆6	1	7	3	21	2	1	Tue Aug 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Jan 16 2024 00:00:00 GMT+0900 (日本標準時)	0	1	1
	BS30	☆6	1	2	6	21	20	7	Tue Sep 05 2023 00:00:00 GMT+0900 (日本標準時)	Tue Mar 19 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	B216	☆6	0	1	10	15	30	11	Sun Oct 08 2023 00:00:00 GMT+0900 (日本標準時)	Tue Apr 16 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	LT22	☆6	1	6	6	16	9	4	Wed Nov 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Apr 30 2024 00:00:00 GMT+0900 (日本標準時)	0	0	0
	LN11	☆6	1	1	4	9	10	5	Wed Nov 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Apr 30 2024 00:00:00 GMT+0900 (日本標準時)	0	0	0
	LN07	☆6	0	1	5	11	10	5	Wed Nov 01 2023 00:00:00 GMT+0900 (日本標準時)	Tue Apr 30 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	JC07	☆6	1	1	1	11	11	5	Tue Dec 05 2023 00:00:00 GMT+0900 (日本標準時)	Fri Jun 21 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	RB15	☆6	1	3	7	14	14	8	Tue Jan 09 2024 00:00:00 GMT+0900 (日本標準時)	Tue Jul 09 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	NM05	☆6	1	2	2	99	7	2	Thu Feb 01 2024 00:00:00 GMT+0900 (日本標準時)	Wed Jul 31 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	YD06	☆6	0	1	3	32	6	2	Thu Feb 01 2024 00:00:00 GMT+0900 (日本標準時)	Wed Jul 31 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	RS05	☆6	1	7	2	100	39	100	Thu Mar 07 2024 00:00:00 GMT+0900 (日本標準時)	Thu Sep 05 2024 00:00:00 GMT+0900 (日本標準時)	0	0	0
	SW00	☆6	1	7	1	15	37	11	Thu Apr 11 2024 00:00:00 GMT+0900 (日本標準時)	Thu Oct 10 2024 00:00:00 GMT+0900 (日本標準時)	1	1	0
	B00W	☆6	1	3	5	15	38	11	Wed May 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Oct 31 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	RE03	☆6	0	4	0	15	30	11	Wed May 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Oct 31 2024 00:00:00 GMT+0900 (日本標準時)	0	0	0
	DWDB	☆6	1	6	4	99	30	11	Wed May 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Oct 31 2024 00:00:00 GMT+0900 (日本標準時)	0	0	0
	AA00	☆6	0	1	10	8	28	19	Wed Jun 05 2024 00:00:00 GMT+0900 (日本標準時)	Tue Dec 03 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	R182	☆6	1	4	7	15	30	11	Tue Jul 09 2024 00:00:00 GMT+0900 (日本標準時)	Fri Feb 07 2025 00:00:00 GMT+0900 (日本標準時)	0	0	0
	SG14	☆6	1	1	11	21	22	13	Thu Aug 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2025 00:00:00 GMT+0900 (日本標準時)	0	0	0
	SG17	☆6	1	3	8	13	22	13	Thu Aug 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2025 00:00:00 GMT+0900 (日本標準時)	0	0	0
	DD02	☆6	1	4	2	104	30	104	Mon Sep 02 2024 00:00:00 GMT+0900 (日本標準時)	Mon Mar 10 2025 00:00:00 GMT+0900 (日本標準時)	0	0	1
	VC00	☆6	1	1	4	0	12	7	Wed Oct 09 2024 00:00:00 GMT+0900 (日本標準時)		0	0	0
	SR04	☆6	1	4	5	28	17	10	Fri Nov 01 2024 00:00:00 GMT+0900 (日本標準時)		0	0	0
	SR40	☆6	1	0	1	6	17	10	Fri Nov 01 2024 00:00:00 GMT+0900 (日本標準時)		0	0	0
	R315	☆6	1	7	0	29	30	0	Fri Nov 01 2024 00:00:00 GMT+0900 (日本標準時)		0	0	0
	II02	☆6	0	7	8	8	29	20	Thu Dec 05 2024 00:00:00 GMT+0900 (日本標準時)		0	0	0
	NM06	☆6	0	2	7	99	7	2	Wed Jan 22 2025 00:00:00 GMT+0900 (日本標準時)		0	0	0
	REX1	☆6	1	4	7	21	36	2	Wed Jan 22 2025 00:00:00 GMT+0900 (日本標準時)		0	0	0
	R169	☆6	1	1	7	15	30	11	Fri Feb 14 2025 00:00:00 GMT+0900 (日本標準時)		0	0	0
	DB01	☆6	1	4	8	20	40	7	Fri Mar 07 2025 00:00:00 GMT+0900 (日本標準時)		0	0	0
	RB01	☆5	1	1	0	14	14	8	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	PL02	☆5	1	0	1	28	5	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	USS1	☆5	1	0	1	5	1	0	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	RL04	☆5	1	5	2	26	21	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	RL01	☆5	1	5	0	26	21	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	R106	☆5	1	5	0	15	30	11	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R001	☆5	1	4	0	14	30	8	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	0	1
	R001_2	☆5	1	1	4	14	30	8	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	Fri Apr 30 2021 00:00:00 GMT+0900 (日本標準時)	0	0	0
	R001_3	☆5	1	5	4	14	30	8	Wed May 01 2024 00:00:00 GMT+0900 (日本標準時)	Thu Oct 31 2024 00:00:00 GMT+0900 (日本標準時)	0	1	0
	VC03	☆5	1	4	0	21	12	7	Thu May 30 2019 00:00:00 GMT+0900 (日本標準時)	Wed Feb 05 2020 00:00:00 GMT+0900 (日本標準時)	0	0	1
	SK01	☆5	1	4	2	21	12	7	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	SW01	☆5	1	7	0	28	37	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	0	1
	SG01	☆5	1	7	1	25	22	13	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	JC06	☆5	1	7	4	21	11	6	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	YD01	☆5	1	7	6	5	2	2	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	SR03	☆5	1	3	6	28	17	10	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	AA03	☆5	1	3	0	3	29	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	ST01	☆5	1	3	2	9	30	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	ST03	☆5	1	3	4	15	30	11	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	KZ03	☆5	1	3	0	13	15	9	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	JC05	☆5	1	6	2	21	11	6	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	USS2	☆5	1	6	0	5	1	0	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	RL05	☆5	1	6	3	2	21	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	PL05	☆5	1	6	4	99	5	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	0
	BS01	☆5	1	1	5	6	20	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	AA02	☆5	1	1	0	99	28	19	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	GG03	☆5	1	1	2	21	13	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	SR01	☆5	1	1	8	28	17	10	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	1	0
	FO02	☆5	1	2	2	13	35	9	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	1	0
	BS02	☆5	1	2	6	7	20	18	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	MN02	☆5	1	2	4	22	26	17	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	PL04	☆5	1	2	0	22	5	17	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	VC05	☆5	1	0	0	13	12	7	Thu May 30 2019 00:00:00 GMT+0900 (日本標準時)	Wed Feb 05 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM08	☆5	1	1	6	21	3	1	Tue Jul 09 2019 00:00:00 GMT+0900 (日本標準時)	Wed Feb 26 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R128	☆5	1	6	0	99	29	19	Tue Aug 27 2019 00:00:00 GMT+0900 (日本標準時)	Wed Apr 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	SS01	☆5	1	5	1	26	24	15	Tue Aug 27 2019 00:00:00 GMT+0900 (日本標準時)	Wed Apr 29 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	RR01	☆5	1	1	4	26	19	12	Tue Sep 10 2019 00:00:00 GMT+0900 (日本標準時)	Wed Apr 15 2020 00:00:00 GMT+0900 (日本標準時)	1	0	0
	R137	☆5	0	1	5	15	30	11	Tue Oct 15 2019 00:00:00 GMT+0900 (日本標準時)	Wed Mar 25 2020 00:00:00 GMT+0900 (日本標準時)	0	0	1
	LT01	☆5	0	3	1	16	9	4	Tue Oct 15 2019 00:00:00 GMT+0900 (日本標準時)	Wed Mar 25 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R132	☆5	1	5	2	6	12	7	Fri Nov 01 2019 00:00:00 GMT+0900 (日本標準時)	Wed May 20 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM12	☆5	1	7	0	21	4	2	Tue Nov 19 2019 00:00:00 GMT+0900 (日本標準時)	Wed May 27 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM15	☆5	0	2	0	22	2	1	Tue Nov 19 2019 00:00:00 GMT+0900 (日本標準時)	Wed May 27 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	HT03	☆5	1	0	0	20	12	7	Tue Dec 10 2019 00:00:00 GMT+0900 (日本標準時)	Wed Jul 15 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
	SR27	☆5	0	1	0	21	18	10	Tue Dec 10 2019 00:00:00 GMT+0900 (日本標準時)	Wed Jul 15 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	R110	☆5	1	3	0	26	30	99	Tue Dec 24 2019 00:00:00 GMT+0900 (日本標準時)	Tue Jun 30 2020 00:00:00 GMT+0900 (日本標準時)	1	0	1
