Code	Rank	Material1	Count	Material2	Count	Material3	Count
FO03	9	13	12	30044	4	30024	7
FO03	10	13	15	30135	6	30054	5
FO03	11	13	6	30024	4	30103	5
FO03	12	13	12	30054	4	30034	7
FO03	13	13	15	30135	6	30064	4
FO03	14	13	6	30034	4	30013	8
FO03	15	13	12	30064	3	30044	6
FO03	16	13	15	30125	6	30084	5
FO03	17	3000	4	30145	2		
FO03	18	3000	4	3002	60	30115	3
FO03	19	3000	4	3001	20	30125	4
FO03	20	3000	4	30145	2		
FO03	21	3000	4	3002	60	30115	3
FO03	22	3000	4	3001	20	30135	4
RL03	0	28	5	30032	8	30012	8
RL03	1	30	4	30135	4	30034	7
RL03	2	11	5				
RL03	3	11	5	30031	6	30041	4
RL03	4	12	8	30042	4		
RL03	5	12	8	30052	4	30012	5
RL03	6	12	8	30063	4		
RL03	7	13	8	30073	5	30053	4
RL03	8	13	6	30084	4	30063	4
RL03	9	13	12	30014	4	30094	9
RL03	10	13	15	30135	6	30034	6
RL03	11	13	6	30094	4	30073	7
RL03	12	13	12	30024	4	30104	8
RL03	13	13	15	30135	6	30044	5
RL03	14	13	6	30104	4	30083	5
RL03	15	13	12	30034	4	30014	10
RL03	16	13	15	30125	6	30044	4
RL03	17	3000	4	30125	2		
RL03	18	3000	4	3002	60	30145	3
RL03	19	3000	4	3001	20	30115	4
RL03	23	3000	4	30155	2		
RL03	24	3000	4	3002	60	30145	3
RL03	25	3000	4	3001	20	30115	4
LN02	0	28	5	30042	7	30022	5
LN02	1	30	4	30115	4	30064	5
LN02	2	11	5				
LN02	3	11	5	30041	5	30021	4
LN02	4	12	8	30052	4		
LN02	5	12	8	30062	3	30032	3
LN02	6	12	8	30073	7		
LN02	7	13	8	30083	3	30103	4
LN02	8	13	6	30094	4	30073	7
LN02	9	13	12	30024	4	30104	8
LN02	10	13	15	30115	6	30064	4
LN02	11	13	6	30104	4	30083	5
LN02	12	13	12	30034	4	30014	10
LN02	13	13	15	30115	6	30084	6
LN02	14	13	6	30014	4	30093	7
LN02	15	13	12	30044	4	30024	7
LN02	16	13	15	30135	6	30054	5
LN02	17	3000	4	30115	2		
LN02	18	3000	4	3002	60	30145	3
LN02	19	3000	4	3001	20	30125	4
PL03	0	25	5	30012	12	30052	4
PL03	1	27	4	30115	4	30024	5
PL03	2	11	5				
PL03	3	11	5	30011	6	30061	4
PL03	4	12	8	30022	5		
PL03	5	12	8	30032	4	30042	4
PL03	6	12	8	30043	6		
PL03	7	13	8	30053	3	30073	6
PL03	8	13	6	30064	3	30043	4
PL03	9	13	12	30094	4	30074	9
PL03	10	13	15	30115	6	30024	6
PL03	11	13	6	30074	4	30053	8
PL03	12	13	12	30104	4	30084	7
PL03	13	13	15	30115	6	30074	7
PL03	14	13	6	30084	4	30063	4
PL03	15	13	12	30014	4	30094	9
PL03	16	13	15	30135	6	30034	6
PL03	17	3000	4	30135	2		
PL03	18	3000	4	3002	60	30145	3
PL03	19	3000	4	3001	20	30115	4
PL03	20	3000	4	30155	2		
PL03	21	3000	4	3002	60	30145	3
PL03	22	3000	4	3001	20	30115	4
SR02	0	40	5	30052	7	30022	4
SR02	1	42	4	30125	4	30024	5
SR02	2	11	5				
SR02	3	11	5	30051	6	30011	4
SR02	4	12	8	30062	3		
SR02	5	12	8	30012	5	30062	3
SR02	6	12	8	30043	6		
SR02	7	13	8	30053	3	30073	6
SR02	8	13	6	30064	3	30043	4
SR02	9	13	12	30094	4	30074	9
SR02	10	13	15	30125	6	30024	5
SR02	11	13	6	30074	4	30053	8
SR02	12	13	12	30104	4	30084	7
SR02	13	13	15	30115	6	30024	6
SR02	14	13	6	30084	4	30063	4
SR02	15	13	12	30014	4	30094	9
SR02	16	13	15	30115	6	30074	7
SR02	17	3000	4	30125	2		
SR02	18	3000	4	3002	60	30135	3
SR02	19	3000	4	3001	20	30145	4
SR02	20	3000	4	30125	2		
SR02	21	3000	4	3002	60	30115	3
SR02	22	3000	4	3001	20	30135	4
SR02	26	3000	1				
SR02	27	3000	1				
SR02	28	3000	1				
JC01	0	22	5	30032	8	30062	3
JC01	1	24	4	30135	4	30074	6
JC01	2	11	5				
JC01	3	11	5	30031	6	30041	4
JC01	4	12	8	30042	4		
JC01	5	12	8	30052	4	30012	5
JC01	6	12	8	30023	7		
JC01	7	13	8	30033	4	30083	5
JC01	8	13	6	30044	4	30023	4
JC01	9	13	12	30074	4	30054	8
JC01	10	13	15	30135	6	30074	7
JC01	11	13	6	30054	4	30033	6
JC01	12	13	12	30084	4	30064	5
JC01	13	13	15	30135	6	30024	6
JC01	14	13	6	30064	3	30043	4
JC01	15	13	12	30094	4	30074	9
JC01	16	13	15	30125	6	30024	5
JC01	17	3000	4	30115	2		
JC01	18	3000	4	3002	60	30145	3
JC01	19	3000	4	3001	20	30155	4
LM05	0	34	5	30012	11	30042	5
LM05	1	36	4	30115	4	30094	5
LM05	2	11	5				
LM05	3	11	5	30031	6	30041	4
LM05	4	12	8	30022	5		
LM05	5	12	8	30032	4	30042	4
LM05	6	12	8	30103	6		
LM05	7	13	8	30013	5	30063	4
LM05	8	13	6	30024	4	30103	5
LM05	9	13	12	30054	4	30034	7
LM05	10	13	15	30115	6	30094	6
LM05	11	13	6	30034	4	30013	8
LM05	12	13	12	30064	3	30044	6
LM05	13	13	15	30115	6	30034	6
LM05	14	13	6	30044	4	30023	4
LM05	15	13	12	30074	4	30054	8
LM05	16	13	15	30135	6	30074	7
LM05	17	3000	4	30135	2		
LM05	18	3000	4	3002	60	30125	3
LM05	19	3000	4	3001	20	30145	4
LM05	20	3000	4	30135	2		
LM05	21	3000	4	3002	60	30125	3
LM05	22	3000	4	3001	20	30145	4
RL02	0	34	5	30022	8	30052	5
RL02	1	36	4	30125	4	30084	5
RL02	2	11	5				
RL02	3	11	5	30041	5	30021	4
RL02	4	12	8	30032	5		
RL02	5	12	8	30042	4	30022	3
RL02	6	12	8	30013	8		
RL02	7	13	8	30023	4	30043	5
RL02	8	13	6	30034	4	30013	8
RL02	9	13	12	30064	3	30044	6
RL02	10	13	15	30125	6	30084	5
RL02	11	13	6	30044	4	30023	4
RL02	12	13	12	30074	4	30054	8
RL02	13	13	15	30125	6	30054	5
RL02	14	13	6	30054	4	30033	6
RL02	15	13	12	30084	4	30064	5
RL02	16	13	15	30115	6	30104	6
RL02	17	3000	4	30115	2		
RL02	18	3000	4	3002	60	30125	3
RL02	19	3000	4	3001	20	30135	4
RL02	20	3000	4	30135	2		
RL02	21	3000	4	3002	60	30115	3
RL02	22	3000	4	3001	20	30125	4
AA01	0	22	5	30062	5	30032	5
AA01	1	24	4	30135	4	30014	9
AA01	2	11	5				
AA01	3	11	5	30061	4	30031	4
AA01	4	12	8	30012	7		
AA01	5	12	8	30022	4	30052	4
AA01	6	12	8	30053	6		
AA01	7	13	8	30063	3	30023	5
AA01	8	13	6	30074	4	30053	8
AA01	9	13	12	30104	4	30084	7
AA01	10	13	15	30135	6	30014	7
AA01	11	13	6	30084	4	30063	4
AA01	12	13	12	30014	4	30094	9
AA01	13	13	15	30125	6	30014	6
AA01	14	13	6	30094	4	30073	7
AA01	15	13	12	30024	4	30104	8
AA01	16	13	15	30125	6	30034	5
AA01	17	3000	4	30135	2		
AA01	18	3000	4	3002	60	30125	3
AA01	19	3000	4	3001	20	30145	4
AA01	20	3000	4	30125	2		
AA01	21	3000	4	3002	60	30135	3
AA01	22	3000	4	3001	20	30145	4
SS02	0	25	5	30032	8	30022	6
SS02	1	27	4	30135	4	30044	5
SS02	2	11	5				
SS02	3	11	5	30021	5	30051	4
SS02	4	12	8	30032	5		
SS02	5	12	8	30042	4	30022	3
SS02	6	12	8	30073	7		
SS02	7	13	8	30083	3	30103	4
SS02	8	13	8	30094	4	30073	7
SS02	9	13	12	30024	4	30104	8
SS02	10	13	15	30125	6	30034	5
SS02	11	13	8	30104	4	30083	5
SS02	12	13	12	30034	4	30014	10
SS02	13	13	15	30115	6	30064	4
SS02	14	13	8	30014	4	30093	7
SS02	15	13	12	30044	4	30024	7
SS02	16	13	15	30115	6	30084	6
SS02	17	3000	4	30115	2		
SS02	18	3000	4	3002	60	30135	3
SS02	19	3000	4	3001	20	30145	4
SS02	20	3000	4	30145	2		
SS02	21	3000	4	3002	60	30115	3
SS02	22	3000	4	3001	20	30125	4
AZ01	0	22	5	30022	10	30012	6
AZ01	1	24	4	30125	4	30034	7
AZ01	2	11	5				
AZ01	3	11	5	30031	6	30041	4
AZ01	4	12	8	30042	4		
AZ01	5	12	8	30052	4	30012	5
AZ01	6	12	8	30083	6		
AZ01	7	13	8	30093	4	30013	5
AZ01	8	13	8	30024	4	30103	5
AZ01	9	13	12	30054	4	30034	7
AZ01	10	13	15	30135	6	30044	5
AZ01	11	13	8	30034	4	30013	8
AZ01	12	13	12	30064	3	30044	6
AZ01	13	13	15	30125	6	30044	4
AZ01	14	13	8	30044	4	30023	4
AZ01	15	13	12	30074	4	30054	8
AZ01	16	13	15	30125	6	30094	5
AZ01	17	3000	4	30125	2		
AZ01	18	3000	4	3002	60	30115	3
AZ01	19	3000	4	3001	20	30135	4
AZ01	20	3000	4	30125	2		
AZ01	21	3000	4	3002	60	30135	3
AZ01	22	3000	4	3001	20	30145	4
RL06	0	40	5	30042	7	30032	4
RL06	1	42	4	30115	4	30084	6
RL06	2	11	5				
RL06	3	11	5	30041	5	30021	4
RL06	4	12	8	30052	4		
RL06	5	12	8	30062	3	30032	3
RL06	6	12	8	30093	5		
RL06	7	13	8	30103	3	30033	5
RL06	8	13	8	30104	4	30083	5
RL06	9	13	12	30034	4	30014	10
RL06	10	13	15	30115	6	30084	6
RL06	11	13	8	30014	4	30093	7
RL06	12	13	12	30044	4	30024	7
RL06	13	13	15	30135	6	30054	5
RL06	14	13	8	30024	4	30103	5
RL06	15	13	12	30054	4	30034	7
RL06	16	13	15	30135	6	30064	4
RL06	17	3000	4	30115	2		
RL06	18	3000	4	3002	60	30125	3
RL06	19	3000	4	3001	20	30135	4
RL06	20	3000	4	30115	2		
RL06	21	3000	4	3002	60	30145	3
RL06	22	3000	4	3001	20	30125	4
LT77	0	28	5	30052	7	30042	4
LT77	1	30	4	30125	4	30094	7
LT77	2	11	5				
LT77	3	11	5	30051	6	30011	4
LT77	4	12	8	30062	3		
LT77	5	12	8	30012	5	30062	3
LT77	6	12	8	30103	4		
LT77	7	13	8	30013	5	30063	4
LT77	8	13	8	30014	4	30093	7
LT77	9	13	12	30044	4	30024	7
LT77	10	13	15	30125	6	30094	5
LT77	11	13	8	30024	4	30103	5
LT77	12	13	12	30054	4	30034	7
LT77	13	13	15	30115	6	30094	6
LT77	14	13	8	30034	4	30013	8
LT77	15	13	12	30064	3	30044	6
LT77	16	13	15	30115	6	30034	6
LT77	17	3000	4	30115	2		
LT77	18	3000	4	3002	60	30135	3
LT77	19	3000	4	3001	20	30125	4
LT77	20	3000	4	30145	2		
LT77	21	3000	4	3002	60	30115	3
LT77	22	3000	4	3001	20	30125	4
RE41	0	22	5	30062	5	30052	4
RE41	1	24	4	30135	4	30064	6
RE41	2	11	5				
RE41	3	11	5	30061	4	30031	4
RE41	4	12	8	30012	7		
RE41	5	12	8	30022	4	30052	4
RE41	6	12	8	30013	8		
RE41	7	13	8	31013	4	30043	4
RE41	8	13	8	30064	3	30043	4
RE41	9	13	12	30064	3	30044	6
RE41	10	13	15	30135	6	30064	4
RE41	11	13	8	30074	4	30053	8
RE41	12	13	12	30074	4	30054	8
RE41	13	13	15	30125	6	30084	5
RE41	14	13	8	30084	4	30063	4
RE41	15	13	12	30084	4	30064	5
RE41	16	13	15	30115	6	30064	4
RE41	17	3000	4	30115	2		
RE41	18	3000	4	3002	60	30125	3
RE41	19	3000	4	3001	20	30135	4
LM20	0	43	5	30022	8	30042	5
LM20	1	45	4	30135	4	31014	7
LM20	2	11	5				
LM20	3	11	5	30021	5	30051	4
LM20	4	12	8	30032	5		
LM20	5	12	8	30042	4	30022	3
LM20	6	12	8	31023	6		
LM20	7	13	8	30053	3	30073	6
LM20	8	13	8	31014	4	30013	11
LM20	9	13	12	30094	4	30074	9
LM20	10	13	15	30115	6	31024	6
LM20	11	13	8	30044	4	31023	4
LM20	12	13	12	30104	4	30084	7
LM20	13	13	15	30135	6	31014	6
LM20	14	13	8	30054	4	31013	4
LM20	15	13	12	31024	4	30104	8
LM20	16	13	15	30125	6	31024	5
LM20	17	3000	4	30115	2		
LM20	18	3000	4	3002	60	30135	3
LM20	19	3000	4	3001	20	30145	4
NM01	0	34	5	30012	12	30032	5
NM01	1	36	4	30115	4	31024	7
NM01	2	11	5				
NM01	3	11	5	30011	6	30061	4
NM01	4	12	8	30022	5		
NM01	5	12	8	30032	4	30042	4
NM01	6	12	8	31013	5		
NM01	7	13	8	30043	3	30093	5
NM01	8	13	8	30094	4	30073	7
NM01	9	13	12	31014	4	30014	10
NM01	10	13	15	30125	6	31014	6
NM01	11	13	8	30104	4	30083	5
NM01	12	13	12	30044	4	31024	7
NM01	13	13	15	30115	6	31014	7
NM01	14	13	8	31024	4	30103	5
NM01	15	13	12	30054	4	31014	9
NM01	16	13	15	30135	6	31024	6
NM01	17	3000	4	30145	2		
NM01	18	3000	4	3002	60	30115	3
NM01	19	3000	4	3001	20	30125	4
NM01	20	3000	4	30115	2		
NM01	21	3000	4	3002	60	30145	3
NM01	22	3000	4	3001	20	30125	4
R155	0	28	5	30042	8	30062	3
R155	1	30	4	30125	4	31024	5
R155	2	11	5				
R155	3	11	5	30041	5	30021	4
R155	4	12	8	30052	4		
R155	5	12	8	30062	3	30032	3
R155	6	12	8	30053	6		
R155	7	13	8	30093	4	30013	5
R155	8	13	8	30104	4	30083	5
R155	9	13	12	30044	4	31024	7
R155	10	13	15	30115	6	31014	7
R155	11	13	8	31024	4	30103	5
R155	12	13	12	30054	4	31014	9
R155	13	13	15	30135	6	31024	6
R155	14	13	8	31014	4	30013	11
R155	15	13	12	30064	3	30044	6
R155	16	13	15	30125	6	30014	6
R155	17	3000	4	30125	2		
R155	18	3000	4	3002	60	30135	3
R155	19	3000	4	3001	20	30145	4
R155	20	3000	4	30125	2		
R155	21	3000	4	3002	60	30135	3
R155	22	3000	4	3001	20	30145	4
RV02	0	37	5	30032	10	30052	3
RV02	1	39	4	30115	4	30014	9
RV02	2	11	5				
RV02	3	11	5	30031	6	30041	4
RV02	4	12	8	30042	4		
RV02	5	12	8	30052	4	30012	5
RV02	6	12	8	30043	6		
RV02	7	13	8	30073	5	30053	4
RV02	8	13	8	30074	4	30053	8
RV02	9	13	12	30104	4	30084	7
RV02	10	13	15	30125	6	30054	5
RV02	11	13	8	30084	4	30063	4
RV02	12	13	12	31024	4	30104	8
RV02	13	13	15	30135	6	30074	7
RV02	14	13	8	30094	4	30073	7
RV02	15	13	12	31014	4	30014	10
RV02	16	13	15	30125	6	30044	4
RV02	17	3000	4	30145	2		
RV02	18	3000	4	3002	60	30125	3
RV02	19	3000	4	3001	20	30135	4
RV02	20	3000	4	30115	2		
RV02	21	3000	4	3002	60	30125	3
RV02	22	3000	4	3001	20	30135	4
R109	0	43	5	30052	7	30012	7
R109	1	45	4	30115	4	31014	9
R109	2	11	5				
R109	3	11	5	30011	6	30061	4
R109	4	12	8	30022	5		
R109	5	12	8	30032	4	30042	4
R109	6	12	8	30083	6		
R109	7	13	8	31013	4	30043	4
R109	8	13	8	30014	4	30093	7
R109	9	13	12	30074	4	30054	8
R109	10	13	15	30135	6	31024	6
R109	11	13	8	30054	4	31013	4
R109	12	13	12	30084	4	30064	5
R109	13	13	15	30115	6	31024	6
R109	14	13	8	30064	3	30043	4
R109	15	13	12	30094	4	30074	9
R109	16	13	15	30135	6	31014	6
R109	17	3000	4	30115	2		
R109	18	3000	4	3002	60	30135	3
R109	19	3000	4	3001	20	30145	4
R109	20	3000	4	30135	2		
R109	21	3000	4	3002	60	30115	3
R109	22	3000	4	3001	20	30125	4
R109	26	3000	1				
R109	27	3000	1				
R109	28	3000	1				
B214	0	25	5	30012	12	30022	5
B214	1	27	4	30125	4	30054	7
B214	2	11	5				
B214	3	11	5	30051	6	30011	4
B214	4	12	8	30062	3		
B214	5	12	8	30012	5	30062	3
B214	6	12	8	30063	4		
B214	7	13	8	30083	3	30103	4
B214	8	13	8	31024	4	30103	5
B214	9	13	12	30104	4	30084	7
B214	10	13	15	30135	6	31014	6
B214	11	13	8	30064	3	30043	4
B214	12	13	12	31014	4	30014	10
B214	13	13	15	30125	6	31024	5
B214	14	13	8	30074	4	30053	8
B214	15	13	12	30044	4	31024	7
B214	16	13	15	30125	6	31014	6
B214	17	3000	4	30115	2		
B214	18	3000	4	3002	60	30125	3
B214	19	3000	4	3001	20	30135	4
B214	20	3000	4	30135	2		
B214	21	3000	4	3002	60	30125	3
B214	22	3000	4	3001	20	30145	4
R117	0	43	5	30062	6	30022	4
R117	1	45	4	30135	4	30084	6
R117	2	11	5				
R117	3	11	5	30061	4	30031	4
R117	4	12	8	30012	7		
R117	5	12	8	30022	4	30052	4
R117	6	12	8	30073	7		
R117	7	13	8	30013	5	30063	4
R117	8	13	8	30084	4	30063	4
R117	9	13	12	30014	4	30094	9
R117	10	13	15	30125	6	31024	5
R117	11	13	8	30094	4	30073	7
R117	12	13	12	30064	3	30044	6
R117	13	13	15	30125	6	31014	6
R117	14	13	8	30104	4	30083	5
R117	15	13	12	30074	4	30054	8
R117	16	13	15	30115	6	31014	7
R117	17	3000	4	30115	2		
R117	18	3000	4	3002	60	30125	3
R117	19	3000	4	3001	20	30135	4
R117	20	3000	4	30115	2		
R117	21	3000	4	3002	60	30145	3
R117	22	3000	4	3001	20	30125	4
USS4	0	25	5	30022	8	30032	5
USS4	1	27	4	30125	4	30064	6
USS4	2	11	5				
USS4	3	11	5	30021	5	30051	4
USS4	4	12	8	30032	5		
USS4	5	12	8	30042	4	30022	3
USS4	6	12	8	30093	5		
USS4	7	13	8	31023	4	30083	5
USS4	8	13	8	31014	4	30013	11
USS4	9	13	12	31024	4	30104	8
USS4	10	13	15	30115	6	30084	6
USS4	11	13	8	30044	4	31023	4
USS4	12	13	12	30054	4	31014	9
USS4	13	13	15	30135	6	30064	4
USS4	14	13	8	30064	3	30043	4
USS4	15	13	12	30074	4	30054	8
USS4	16	13	15	30125	6	30104	5
USS4	17	3000	4	30115	2		
USS4	18	3000	4	3002	60	30135	3
USS4	19	3000	4	3001	20	30145	4
R172	0	40	5	30032	8	30042	4
R172	1	42	4	30135	4	30094	8
R172	2	11	5				
R172	3	11	5	30031	6	30041	4
R172	4	12	8	30042	4		
R172	5	12	8	30052	4	30012	5
R172	6	12	8	30103	4		
R172	7	13	8	30043	3	30093	5
R172	8	13	8	31024	4	30103	5
R172	9	13	12	31014	4	30014	10
R172	10	13	15	30135	6	30044	5
R172	11	13	8	30054	4	31013	4
R172	12	13	12	30044	4	31024	7
R172	13	13	15	30125	6	30094	5
R172	14	13	8	30074	4	30053	8
R172	15	13	12	30064	3	30044	6
R172	16	13	15	30125	6	30054	5
R172	17	3000	4	30135	2		
R172	18	3000	4	3002	60	30145	3
R172	19	3000	4	3001	20	30115	4
R172	20	3000	4	30135	2		
R172	21	3000	4	3002	60	30145	3
R172	22	3000	4	3001	20	30115	4
II01	0	22	5	30042	8	30052	3
II01	1	24	4	30115	4	30044	6
II01	2	11	5				
II01	3	11	5	30041	5	30021	4
II01	4	12	8	30052	4		
II01	5	12	8	30062	3	30032	3
II01	6	12	8	30013	8		
II01	7	13	8	30053	3	30073	6
II01	8	13	8	30054	4	31013	4
II01	9	13	12	31024	4	30104	8
II01	10	13	15	30115	6	30084	6
II01	11	13	8	30074	4	30053	8
II01	12	13	12	30064	3	30044	6
II01	13	13	15	30125	6	30054	5
II01	14	13	8	30094	4	30073	7
II01	15	13	12	30074	4	30054	8
II01	16	13	15	30125	6	30104	5
II01	17	3000	4	30155	2		
II01	18	3000	4	3002	60	30135	3
II01	19	3000	4	3001	20	30145	4
SG03	0	34	5	30052	7	30062	3
SG03	1	36	4	30125	4	31014	7
SG03	2	11	5				
SG03	3	11	5	30051	6	30011	4
SG03	4	12	8	30062	3		
SG03	5	12	8	30022	4	30052	4
SG03	6	12	8	31023	6		
SG03	7	13	8	30063	3	31013	4
SG03	8	13	8	30074	4	30053	8
SG03	9	13	12	30044	4	31024	7
SG03	10	13	15	30125	6	30094	5
SG03	11	13	8	30094	4	30073	7
SG03	12	13	12	30064	3	30044	6
SG03	13	13	15	30125	6	30054	5
SG03	14	13	8	30104	4	30083	5
SG03	15	13	12	30084	4	30064	5
SG03	16	13	15	30115	6	31024	6
SG03	17	3000	4	30125	2		
SG03	18	3000	4	3002	60	30135	3
SG03	19	3000	4	3001	20	30145	4
SG03	20	3000	4	30125	2		
SG03	21	3000	4	3002	60	30115	3
SG03	22	3000	4	3001	20	30135	4
SG03	26	3000	1				
SG03	27	3000	1				
SG03	28	3000	1				
R111	0	22	5	30012	12	30052	4
R111	1	24	4	30115	4	30054	5
R111	2	11	5				
R111	3	11	5	30061	4	30031	4
R111	4	12	8	30012	7		
R111	5	12	8	30032	4	30042	4
R111	6	12	8	30043	6		
R111	7	13	8	30073	5	30053	4
R111	8	13	8	30084	4	30063	4
R111	9	13	12	30054	4	31014	9
R111	10	13	15	30135	6	30064	4
R111	11	13	8	30104	4	30083	5
R111	12	13	12	30074	4	30054	8
R111	13	13	15	30125	6	30104	5
R111	14	13	8	30014	4	30093	7
R111	15	13	12	30094	4	30074	9
R111	16	13	15	30135	6	31014	6
R111	17	3000	4	30135	2		
R111	18	3000	4	3002	60	30155	3
R111	19	3000	4	3001	20	30145	4
KZ09	0	34	5	30062	5	30012	7
KZ09	1	36	4	30135	4	30104	7
KZ09	2	11	5				
KZ09	3	11	5	30011	6	30061	4
KZ09	4	12	8	30022	5		
KZ09	5	12	8	30042	4	30022	3
KZ09	6	12	8	30053	6		
KZ09	7	13	8	30083	3	30103	4
KZ09	8	13	8	30094	4	30073	7
KZ09	9	13	12	30064	3	30044	6
KZ09	10	13	15	30125	6	30054	5
KZ09	11	13	8	30014	4	30093	7
KZ09	12	13	12	30084	4	30064	5
KZ09	13	13	15	30115	6	31024	6
KZ09	14	13	8	31014	4	30013	11
KZ09	15	13	12	30104	4	30084	7
KZ09	16	13	15	30125	6	31024	5
KZ09	17	3000	4	30125	2		
KZ09	18	3000	4	3002	60	30115	3
KZ09	19	3000	4	3001	20	30135	4
KZ09	20	3000	4	30125	2		
KZ09	21	3000	4	3002	60	30145	3
KZ09	22	3000	4	3001	20	30115	4
RE45	0	25	5	30022	9	30062	3
RE45	1	27	4	30135	4	30054	5
RE45	2	11	5				
RE45	3	11	5	30031	6	30041	4
RE45	4	12	8	30042	4		
RE45	5	12	8	30052	4	30012	5
RE45	6	12	8	30063	4		
RE45	7	13	8	30073	5	30053	4
RE45	8	13	8	30094	4	30073	7
RE45	9	13	12	30044	4	31024	7
RE45	10	13	15	30145	6	30014	4
RE45	11	13	8	30014	4	30093	7
RE45	12	13	12	30054	4	31014	9
RE45	13	13	15	30125	6	30064	4
RE45	14	13	8	31014	4	30013	11
RE45	15	13	12	30064	3	30044	6
RE45	16	13	15	30145	6	30094	4
RE45	17	3000	4	30145	2		
RE45	18	3000	4	3002	60	30135	3
RE45	19	3000	4	3001	20	30115	4
RE45	26	3000	1				
RE45	27	3000	1				
RE45	28	3000	1				
R159	0	34	5	30012	12	30052	4
R159	1	36	4	30145	4	31024	5
R159	2	11	5				
R159	3	11	5	30021	5	30051	4
R159	4	12	8	30032	5		
R159	5	12	8	30042	4	30022	3
R159	6	12	8	30053	6		
R159	7	13	8	30063	3	31013	4
R159	8	13	8	30084	4	30063	4
R159	9	13	12	30014	4	30094	9
R159	10	13	15	30125	6	31034	4
R159	11	13	8	31034	4	31013	3
R159	12	13	12	31014	4	30014	10
R159	13	13	15	30115	6	31024	6
R159	14	13	8	30104	4	30083	5
R159	15	13	12	30044	4	31024	7
R159	16	13	15	30135	6	31014	6
R159	17	3000	4	30125	2		
R159	18	3000	4	3002	60	30135	3
R159	19	3000	4	3001	20	30145	4
R159	20	3000	4	30165	2		
R159	21	3000	4	3002	60	30115	3
R159	22	3000	4	3001	20	30135	4
CB05	0	22	5	30032	8	30012	8
CB05	1	24	4	30145	4	31014	8
CB05	2	11	5				
CB05	3	11	5	30041	5	30021	4
CB05	4	12	8	30052	4		
CB05	5	12	8	30062	3	30032	3
CB05	6	12	8	30073	7		
CB05	7	13	8	30083	3	30103	4
CB05	8	13	8	31024	4	30103	5
CB05	9	13	12	30074	4	30054	8
CB05	10	13	15	30135	6	30084	5
CB05	11	13	8	30044	4	31023	4
CB05	12	13	12	30084	4	30064	5
CB05	13	13	15	30145	6	30094	4
CB05	14	13	8	30054	4	31013	4
